"Estacion" "Codigo" "Termino" "Longitud" "Latitud" "Altitud" "XUTM" "YUTM" "Huso" "Fecha_Instalacion" "Fecha_Baja"
"156" "Burriana" "CS06" "Borriana/Burriana" "000620000W" "395316000N" 18 747478 4419320 30 "2001-01-17T00:00:00" NA
"157" "Ribera de Cabanes" "CS07" "Cabanes" "000847000E" "400802000N" 16 768076 4447370 31 "2001-02-20T00:00:00" NA
"158" "Nules" "CS08" "Nules" "000944125W" "395142128N" 21 742734.76 4416262.16 30 "2001-02-20T00:00:00" NA
"159" "Segorbe" "CS09" "Segorbe" "002859000W" "394902000N" 346 715427 4410510 30 "2001-02-21T00:00:00" NA
"160" "Onda" "CS10" "Onda" "001235000W" "395808000N" 185 738280 4428030 30 "2001-10-31T00:00:00" "2008-07-09T00:00:00"
"161" "Vila-real EEA" "CS101" "Vila-real" "000814132W" "395641730N" 66 744577 4425569 30 "1999-01-20T00:00:00" NA
"162" "Onda" "CS11" "Onda" "001129000W" "395804000N" 114 739849 4427960 30 "2008-07-11T00:00:00" NA
"163" "Benicarló" "CS12" "Benicarló" "002330180W" "402604360N" 18 787808.8 4481725.33 30 "2018-05-31T00:00:00" NA
"164" "El Sanchón" "CU01" "Casas de Fernando Alonso" "021744000W" "392150000N" 717 560667 4357420 30 "1999-09-16T00:00:00" NA
"165" "Pedernoso" "CU02" "Pedernoso, El" "024532000W" "392823000N" 700 520738 4369320 30 "1999-09-16T00:00:00" NA
"166" "El Picazo" "CU03" "Picazo, El" "020529000W" "392717000N" 703 578157 4367640 30 "2000-09-29T00:00:00" NA
"167" "Barajas de Melo" "CU04" "Barajas de Melo" "025610270W" "400656720N" 690 505438.03 4440421.89 30 "2000-10-09T00:00:00" NA
"168" "Cañete" "CU05" "Cañete" "013900000W" "400142000N" 1035 615188 4431790 30 "2000-10-10T00:00:00" NA
"169" "Mariana" "CU06" "Mariana" "020824000W" "401006000N" 963 573219 4446800 30 "2000-10-10T00:00:00" "2003-11-03T00:00:00"
"170" "Villaconejos de Trabaque" "CU07" "Villaconejos de Trabaque" "021929000W" "402448000N" 795 557292 4473880 30 "2000-10-11T00:00:00" NA
"171" "Villanueva de la Jara" "CU08" "Villanueva de la Jara" "015049000W" "392416000N" 776 599274 4362320 30 "2000-10-30T00:00:00" NA
"172" "Mariana" "CU09" "Mariana" "020829000W" "400909000N" 939 573120 4445040 30 "2004-01-15T00:00:00" NA
"173" "Gáldar" "GC01" "Gáldar" "153954000W" "280921000N" 7 434693 3114660 28 "1999-12-28T00:00:00" NA
"174" "San Nicolás de Tolentino" "GC02" "Aldea de San Nicolás, La" "154708000W" "275915000N" 55 422731 3096070 28 "1999-12-27T00:00:00" NA
"175" "Santa Lucía - Vecindario" "GC03" "Santa Lucía de Tirajana" "152549000W" "275031000N" 49 457628 3079800 28 "1999-12-29T00:00:00" NA
"176" "Vega de San Mateo" "GC04" "Vega de San Mateo" "153158000W" "280109000N" 762 447605 3099470 28 "2000-11-28T00:00:00" NA
"177" "Arucas" "GC05" "Arucas" "153050000W" "280746000N" 220 449522 3111650 28 "2000-11-28T00:00:00" NA
"178" "Haría" "GC06" "Haría" "132834000W" "290601000N" 66 648276 3220070 28 "2000-11-28T00:00:00" "2023-11-13T00:00:00"
"179" "Tinajo" "GC07" "Tinajo" "133934000W" "290300000N" 254 630499 3214270 28 "2000-11-29T00:00:00" NA
"180" "Antigua - Molino de Agua" "GC08" "Antigua" "140048000W" "282552000N" 321 596606 3145370 28 "2000-11-29T00:00:00" "2014-07-17T00:00:00"
"181" "Antigua - Pozo Negro" "GC09" "Antigua" "135634000W" "281957000N" 68 603629 3134500 28 "2000-11-30T00:00:00" NA
"182" "Antigua - Molino de Agua" "GC10" "Antigua" "140048000W" "282556000N" 291 596609 3145498 28 "2014-07-21T00:00:00" "2018-10-01T00:00:00"
"183" "La Torrecilla" "GC101" "Haría" "132817360W" "291048710N" 287 648627.14 3228916.97 28 "2014-12-18T00:00:00" NA
"184" "Masdache" "GC102" "San Bartolomé" "133844600W" "290013470N" 322 631908.5 3209156.03 28 "2014-12-18T00:00:00" "2019-12-24T00:00:00"
"185" "La Degollada" "GC103" "Yaiza" "134617700W" "285613650N" 244 619724 3201640 28 "2018-03-03T00:00:00" NA
"186" "Barranquillo Frío" "GC104" "Santa María de Guía de Gran Canaria" "153638410W" "280542930N" 745 440010.19 3107905.6 28 "2018-12-17T00:00:00" NA
"187" "La Tornera" "GC105" "Palmas de Gran Canaria, Las" "152744080W" "280315470N" 383 454573.38 3103303.23 28 "2022-12-21T00:00:00" NA
"188" "El Galeón" "GC106" "Santa Brígida" "152944490W" "280158380N" 483 451276.81 3100943.98 28 "2022-12-21T00:00:00" NA
"189" "La Culata" "GC107" "Tejeda" "153551950W" "275913490N" 1285 441218.6 3095915.19 28 "2023-01-11T00:00:00" NA
"190" "Tunte" "GC108" "San Bartolomé de Tirajana" "153321800W" "275408530N" 586 445277.42 3086511.76 28 "2023-01-11T00:00:00" NA
"191" "La Geria" "GC109" "Yaiza" "134313000W" "285834000N" 284 624677 3206012 28 "2022-12-21T00:00:00" NA
"192" "Baza" "GR01" "Baza" "024603000W" "373352000N" 718 520514 4157520 30 "2000-08-07T00:00:00" NA
"193" "Puebla de Don Fadrique" "GR02" "Puebla de Don Fadrique" "022254000W" "375233000N" 1017 554375 4192250 30 "2000-08-08T00:00:00" NA
"194" "Loja" "GR03" "Loja" "040817000W" "371009000N" 463 398957 4114260 30 "2000-08-21T00:00:00" NA
